stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type
233,,"East Point Rd before Gregory St",, -12.431199, 130.837415,,,0
234,,"East Point Rd before Leichhardt Cres",, -12.434799, 130.837979,,,0
235,,"Gilruth Ave before Salonika St",, -12.438687, 130.837764,,,0
236,,"Gilruth Ave at Gardens Oval",, -12.446133, 130.833471,,,0
237,,"Gilruth Ave opp Casino",, -12.449727, 130.831682,,,0
238,,"Mitchell St after Lambell Tce",, -12.453576, 130.830035,,,0
239,,"Mitchell St before Marsina Ct",, -12.455105, 130.831638,,,0
240,,"Mitchell St before Peary St",, -12.457796, 130.834405,,,0
241,,"Gregory St before Knight St",, -12.432178, 130.838824,,,0
242,,"31 Parap Rd",, -12.431302, 130.843255,,,0
243,,"Ross Smith Ave at Parap Pool",, -12.427400, 130.841873,,,0
244,,"Ross Smith Ave before Christie St",, -12.425460, 130.839182,,,0
245,,"Progress Dve before Litchfield Ct",, -12.387975, 130.854528,,,0
246,,"Old McMillans Rd after Sovereign Cct",, -12.395259, 130.853817,,,0
247,,"68 Ryland Road",, -12.387236, 130.861680,,,0
248,,"46 Ryland Road",, -12.389900, 130.862856,,,0
249,,"22 Ryland Road",, -12.392553, 130.863690,,,0
250,,"2 Ryland Road",, -12.394909, 130.863663,,,0
251,,"McMillans Service Rd before Brooking St",, -12.395104, 130.866149,,,0
252,,"209 McMillans Service Rd",, -12.395095, 130.868264,,,0
253,,"Abala Rd, Hockey Centre",, -12.400463, 130.882754,,,0
254,,"Abala Rd, Bonson Gates",, -12.400558, 130.885612,,,0
255,,"Abala Rd, Ah Mat Gates",, -12.397813, 130.886350,,,0
256,,"Abala Rd, Marrara Indoor Stadium",, -12.397778, 130.882095,,,0
258,,"61 Lee Point Road",, -12.387682, 130.885766,,,0
