shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
10012,-12.372024,130.881771,240003,10.714
10012,-12.372077,130.881613,240004,10.732
10012,-12.372130,130.881479,240005,10.748
10012,-12.372156,130.881360,240006,10.761
10012,-12.372145,130.881252,240007,10.773
10012,-12.372084,130.881129,240008,10.788
10012,-12.372015,130.881015,240009,10.803
10012,-12.371962,130.880927,240010,10.814
10012,-12.371801,130.880716,240011,10.843
10012,-12.371767,130.880669,240012,10.849
10012,-12.371965,130.880536,240013,10.876
10012,-12.372167,130.880432,240014,10.900
10012,-12.372382,130.880354,240015,10.926
10012,-12.372622,130.880281,240016,10.953
10012,-12.372760,130.880256,240017,10.969
10012,-12.372913,130.880258,240018,10.986
10012,-12.372985,130.880267,240019,10.994
1h0016,-12.373765,130.883309,10001,0.000
1h0016,-12.373480,130.883393,10002,0.033
1h0016,-12.373271,130.883461,10003,0.057
1h0016,-12.373080,130.883521,10004,0.079
1h0016,-12.372748,130.883635,10005,0.118
1h0016,-12.372711,130.883648,10006,0.122
1h0016,-12.372614,130.883681,10007,0.134
1h0016,-12.372461,130.883734,10008,0.151
1h0016,-12.372345,130.883774,10009,0.165
1h0016,-12.371955,130.883894,10010,0.210
1h0016,-12.371785,130.883941,10011,0.229
1h0016,-12.371762,130.883947,10012,0.232
1h0016,-12.371730,130.883952,10013,0.236
1h0016,-12.371500,130.883989,10014,0.262
1h0016,-12.371415,130.883990,10015,0.271
1h0016,-12.371283,130.883966,10016,0.286
1h0016,-12.371201,130.883951,10017,0.295
1h0016,-12.371109,130.883935,10018,0.305
1h0016,-12.371091,130.883932,10019,0.307
1h0016,-12.370919,130.883885,10020,0.327
1h0016,-12.370799,130.883835,10021,0.341
1h0016,-12.370739,130.883810,10022,0.348
1h0016,-12.370180,130.883484,10023,0.420
1h0016,-12.370068,130.883411,10024,0.434
1h0016,-12.369913,130.883318,10025,0.454
1h0016,-12.369482,130.883079,10026,0.508
1h0016,-12.369482,130.883079,20001,0.508
1h0016,-12.369079,130.882857,20002,0.559
1h0016,-12.369022,130.882822,20003,0.567
1h0016,-12.368923,130.882763,20004,0.579
1h0016,-12.368871,130.882847,20005,0.590
1h0016,-12.368262,130.883940,20006,0.727
1h0016,-12.367752,130.884851,20007,0.841
1h0016,-12.367596,130.885054,20008,0.869
1h0016,-12.367426,130.885222,20009,0.895
1h0016,-12.367127,130.885427,20010,0.935
1h0016,-12.366801,130.885560,20011,0.974
1h0016,-12.366531,130.885618,20012,1.004
1h0016,-12.365831,130.885655,20013,1.082
1h0016,-12.365809,130.885626,20014,1.086
1h0016,-12.365778,130.885607,20015,1.090
1h0016,-12.365742,130.885603,20016,1.094
1h0016,-12.365708,130.885614,20017,1.098
1h0016,-12.365585,130.885647,20018,1.112
1h0016,-12.365490,130.885668,20019,1.123
